Community Area,Primary Type,total_crimes
37,Theft,606
37,Weapons Violation,172
38,Arson,29
38,Assault,1482
38,Battery,3304
38,Burglary,460
38,Concealed Carry License Violation,5
38,Crim Sexual Assault,22
38,Criminal Damage,1893
38,Criminal Sexual Assault,55
38,Criminal Trespass,251
38,Deceptive Practice,931
38,Gambling,1
38,Homicide,51
38,Human Trafficking,1
38,Interference With Public Officer,58
38,Intimidation,3
38,Kidnapping,11
38,Liquor Law Violation,7
38,Motor Vehicle Theft,1143
38,Narcotics,458
38,Obscenity,4
38,Offense Involving Children,118
38,Other Narcotic Violation,1
38,Other Offense,1208
38,Prostitution,44
38,Public Indecency,2
38,Public Peace Violation,83
38,Robbery,543
38,Sex Offense,56
38,Stalking,28
38,Theft,2821
38,Weapons Violation,529
39,Arson,9
39,Assault,647
39,Battery,1286
39,Burglary,211
39,Crim Sexual Assault,11
39,Criminal Damage,829
39,Criminal Sexual Assault,33
39,Criminal Trespass,144
39,Deceptive Practice,567
39,Homicide,12
39,Interference With Public Officer,7
39,Intimidation,6
39,Kidnapping,4
39,Motor Vehicle Theft,546
39,Narcotics,63
39,Obscenity,2
39,Offense Involving Children,59
39,Other Offense,545
39,Public Indecency,1
39,Public Peace Violation,15
39,Robbery,270
39,Sex Offense,29
39,Stalking,12
39,Theft,1657
39,Weapons Violation,107
40,Arson,14
40,Assault,1194
40,Battery,2711
40,Burglary,363
40,Concealed Carry License Violation,1
40,Crim Sexual Assault,23
40,Criminal Damage,1537
40,Criminal Sexual Assault,34
40,Criminal Trespass,189
40,Deceptive Practice,473
40,Gambling,5
40,Homicide,49
40,Human Trafficking,4
40,Interference With Public Officer,37
40,Intimidation,10
40,Kidnapping,5
40,Liquor Law Violation,3
40,Motor Vehicle Theft,730
40,Narcotics,261
40,Obscenity,2
40,Offense Involving Children,123
40,Other Offense,906
40,Prostitution,6
40,Public Peace Violation,39
40,Robbery,354
40,Sex Offense,39
40,Stalking,25
40,Theft,1624
40,Weapons Violation,441
41,Arson,4
41,Assault,639
41,Battery,1126
41,Burglary,335
41,Crim Sexual Assault,25
41,Criminal Damage,896
41,Criminal Sexual Assault,49
41,Criminal Trespass,134
41,Deceptive Practice,816
41,Homicide,10
41,Human Trafficking,2
41,Interference With Public Officer,9
41,Intimidation,5
41,Kidnapping,3
41,Liquor Law Violation,3
41,Motor Vehicle Theft,530
41,Narcotics,45
41,Obscenity,7
41,Offense Involving Children,56
41,Other Offense,525
41,Public Peace Violation,23
41,Robbery,491
41,Sex Offense,48
41,Stalking,21
41,Theft,2905
41,Weapons Violation,66
42,Arson,27
42,Assault,1551
42,Battery,3566
42,Burglary,609
42,Concealed Carry License Violation,7
42,Crim Sexual Assault,40
42,Criminal Damage,1957
42,Criminal Sexual Assault,75
42,Criminal Trespass,348
42,Deceptive Practice,816
42,Gambling,9
42,Homicide,60
42,Interference With Public Officer,68
42,Intimidation,14
42,Kidnapping,16
42,Liquor Law Violation,8
42,Motor Vehicle Theft,866
42,Narcotics,448
42,Non-Criminal,2
42,Obscenity,3
42,Offense Involving Children,253
42,Other Offense,1157
42,Public Peace Violation,83
42,Robbery,557
42,Sex Offense,60
42,Stalking,26
42,Theft,2552
42,Weapons Violation,690
43,Arson,58
43,Assault,4134
43,Battery,9479
43,Burglary,2081
43,Concealed Carry License Violation,12
43,Crim Sexual Assault,95
43,Criminal Damage,5232
43,Criminal Sexual Assault,172
43,Criminal Trespass,774
43,Deceptive Practice,1917
43,Gambling,11
43,Homicide,169
43,Interference With Public Officer,184
43,Intimidation,14
43,Kidnapping,22
